date,state,crop_name,price_usd_per_lb
2025-06-01,AL,Tomato (processing),0.078
2025-07-01,AL,Tomato (processing),0.078
2025-08-01,AL,Tomato (processing),0.082
2025-09-01,AL,Tomato (processing),0.081
2020-10-01,AL,Onion (bulb),0.309
2020-11-01,AL,Onion (bulb),0.31
2020-12-01,AL,Onion (bulb),0.317
2021-01-01,AL,Onion (bulb),0.313
2021-02-01,AL,Onion (bulb),0.313
2021-03-01,AL,Onion (bulb),0.311
2021-04-01,AL,Onion (bulb),0.304
2021-05-01,AL,Onion (bulb),0.31
2021-06-01,AL,Onion (bulb),0.316
2021-07-01,AL,Onion (bulb),0.321
2021-08-01,AL,Onion (bulb),0.336
2021-09-01,AL,Onion (bulb),0.351
2021-10-01,AL,Onion (bulb),0.347
2021-11-01,AL,Onion (bulb),0.351
2021-12-01,AL,Onion (bulb),0.344
2022-01-01,AL,Onion (bulb),0.344
2022-02-01,AL,Onion (bulb),0.338
2022-03-01,AL,Onion (bulb),0.355
2022-04-01,AL,Onion (bulb),0.359
2022-05-01,AL,Onion (bulb),0.356
2022-06-01,AL,Onion (bulb),0.369
2022-07-01,AL,Onion (bulb),0.345
2022-08-01,AL,Onion (bulb),0.324
2022-09-01,AL,Onion (bulb),0.332
2022-10-01,AL,Onion (bulb),0.332
2022-11-01,AL,Onion (bulb),0.335
2022-12-01,AL,Onion (bulb),0.322
2023-01-01,AL,Onion (bulb),0.321
2023-02-01,AL,Onion (bulb),0.341
2023-03-01,AL,Onion (bulb),0.349
2023-04-01,AL,Onion (bulb),0.351
2023-05-01,AL,Onion (bulb),0.346
2023-06-01,AL,Onion (bulb),0.342
2023-07-01,AL,Onion (bulb),0.32
2023-08-01,AL,Onion (bulb),0.323
2023-09-01,AL,Onion (bulb),0.331
2023-10-01,AL,Onion (bulb),0.315
2023-11-01,AL,Onion (bulb),0.309
2023-12-01,AL,Onion (bulb),0.298
2024-01-01,AL,Onion (bulb),0.29
2024-02-01,AL,Onion (bulb),0.29
2024-03-01,AL,Onion (bulb),0.272
2024-04-01,AL,Onion (bulb),0.277
2024-05-01,AL,Onion (bulb),0.283
2024-06-01,AL,Onion (bulb),0.281
2024-07-01,AL,Onion (bulb),0.26
2024-08-01,AL,Onion (bulb),0.252
2024-09-01,AL,Onion (bulb),0.262
2024-10-01,AL,Onion (bulb),0.24
2024-11-01,AL,Onion (bulb),0.237
2024-12-01,AL,Onion (bulb),0.229
2025-01-01,AL,Onion (bulb),0.235
2025-02-01,AL,Onion (bulb),0.23
2025-03-01,AL,Onion (bulb),0.233
2025-04-01,AL,Onion (bulb),0.237
2025-05-01,AL,Onion (bulb),0.25
2025-06-01,AL,Onion (bulb),0.248
2025-07-01,AL,Onion (bulb),0.251
2025-08-01,AL,Onion (bulb),0.24
2025-09-01,AL,Onion (bulb),0.248
2020-10-01,AL,Corn (field),0.078
2020-11-01,AL,Corn (field),0.077
2020-12-01,AL,Corn (field),0.077
2021-01-01,AL,Corn (field),0.073
2021-02-01,AL,Corn (field),0.074
2021-03-01,AL,Corn (field),0.076
2021-04-01,AL,Corn (field),0.077
2021-05-01,AL,Corn (field),0.073
2021-06-01,AL,Corn (field),0.073
2021-07-01,AL,Corn (field),0.074
2021-08-01,AL,Corn (field),0.07
2021-09-01,AL,Corn (field),0.068
2021-10-01,AL,Corn (field),0.07
2021-11-01,AL,Corn (field),0.07
2021-12-01,AL,Corn (field),0.071
2022-01-01,AL,Corn (field),0.075
2022-02-01,AL,Corn (field),0.076
2022-03-01,AL,Corn (field),0.078
2022-04-01,AL,Corn (field),0.084
2022-05-01,AL,Corn (field),0.083
2022-06-01,AL,Corn (field),0.081
2022-07-01,AL,Corn (field),0.082
2022-08-01,AL,Corn (field),0.083
2022-09-01,AL,Corn (field),0.082
2022-10-01,AL,Corn (field),0.08
2022-11-01,AL,Corn (field),0.085
2022-12-01,AL,Corn (field),0.086
2023-01-01,AL,Corn (field),0.084
2023-02-01,AL,Corn (field),0.086
2023-03-01,AL,Corn (field),0.086
2023-04-01,AL,Corn (field),0.085
2023-05-01,AL,Corn (field),0.087
2023-06-01,AL,Corn (field),0.083
2023-07-01,AL,Corn (field),0.084
2023-08-01,AL,Corn (field),0.089
2023-09-01,AL,Corn (field),0.09
2023-10-01,AL,Corn (field),0.089
2023-11-01,AL,Corn (field),0.088
2023-12-01,AL,Corn (field),0.087
2024-01-01,AL,Corn (field),0.086
2024-02-01,AL,Corn (field),0.085
2024-03-01,AL,Corn (field),0.088
2024-04-01,AL,Corn (field),0.083
2024-05-01,AL,Corn (field),0.085
2024-06-01,AL,Corn (field),0.084
2024-07-01,AL,Corn (field),0.085
2024-08-01,AL,Corn (field),0.082
2024-09-01,AL,Corn (field),0.086
2024-10-01,AL,Corn (field),0.089
2024-11-01,AL,Corn (field),0.091
2024-12-01,AL,Corn (field),0.087
2025-01-01,AL,Corn (field),0.089
2025-02-01,AL,Corn (field),0.09
2025-03-01,AL,Corn (field),0.086
2025-04-01,AL,Corn (field),0.086
2025-05-01,AL,Corn (field),0.087
2025-06-01,AL,Corn (field),0.088
2025-07-01,AL,Corn (field),0.089
2025-08-01,AL,Corn (field),0.09
2025-09-01,AL,Corn (field),0.094
2020-10-01,AL,Soybean,0.124
2020-11-01,AL,Soybean,0.114
2020-12-01,AL,Soybean,0.113
2021-01-01,AL,Soybean,0.112
2021-02-01,AL,Soybean,0.106
2021-03-01,AL,Soybean,0.106
2021-04-01,AL,Soybean,0.11
2021-05-01,AL,Soybean,0.107
2021-06-01,AL,Soybean,0.108
2021-07-01,AL,Soybean,0.105
2021-08-01,AL,Soybean,0.103
2021-09-01,AL,Soybean,0.107
2021-10-01,AL,Soybean,0.106
2021-11-01,AL,Soybean,0.107
2021-12-01,AL,Soybean,0.101
2022-01-01,AL,Soybean,0.107
2022-02-01,AL,Soybean,0.109
2022-03-01,AL,Soybean,0.108
2022-04-01,AL,Soybean,0.11
2022-05-01,AL,Soybean,0.105
2022-06-01,AL,Soybean,0.109
2022-07-01,AL,Soybean,0.108
2022-08-01,AL,Soybean,0.107
2022-09-01,AL,Soybean,0.106
2022-10-01,AL,Soybean,0.104
2022-11-01,AL,Soybean,0.106
2022-12-01,AL,Soybean,0.107
2023-01-01,AL,Soybean,0.109
2023-02-01,AL,Soybean,0.109
2023-03-01,AL,Soybean,0.111
2023-04-01,AL,Soybean,0.109
2023-05-01,AL,Soybean,0.117
2023-06-01,AL,Soybean,0.111
2023-07-01,AL,Soybean,0.115
2023-08-01,AL,Soybean,0.12
2023-09-01,AL,Soybean,0.117
2023-10-01,AL,Soybean,0.125
2023-11-01,AL,Soybean,0.128
2023-12-01,AL,Soybean,0.132
2024-01-01,AL,Soybean,0.132
2024-02-01,AL,Soybean,0.131
2024-03-01,AL,Soybean,0.131
2024-04-01,AL,Soybean,0.132
2024-05-01,AL,Soybean,0.138
2024-06-01,AL,Soybean,0.138
2024-07-01,AL,Soybean,0.135
2024-08-01,AL,Soybean,0.138
2024-09-01,AL,Soybean,0.142
2024-10-01,AL,Soybean,0.145
2024-11-01,AL,Soybean,0.148
2024-12-01,AL,Soybean,0.147
2025-01-01,AL,Soybean,0.143
2025-02-01,AL,Soybean,0.139
2025-03-01,AL,Soybean,0.132
2025-04-01,AL,Soybean,0.133
2025-05-01,AL,Soybean,0.133
2025-06-01,AL,Soybean,0.131
2025-07-01,AL,Soybean,0.119
2025-08-01,AL,Soybean,0.115
2025-09-01,AL,Soybean,0.119
2020-10-01,AL,Sorghum,0.078
2020-11-01,AL,Sorghum,0.079
2020-12-01,AL,Sorghum,0.076
2021-01-01,AL,Sorghum,0.079
2021-02-01,AL,Sorghum,0.079
2021-03-01,AL,Sorghum,0.08
2021-04-01,AL,Sorghum,0.085
2021-05-01,AL,Sorghum,0.089
2021-06-01,AL,Sorghum,0.088
2021-07-01,AL,Sorghum,0.087
2021-08-01,AL,Sorghum,0.086
2021-09-01,AL,Sorghum,0.087
2021-10-01,AL,Sorghum,0.087
2021-11-01,AL,Sorghum,0.086
2021-12-01,AL,Sorghum,0.09
2022-01-01,AL,Sorghum,0.089
2022-02-01,AL,Sorghum,0.095
2022-03-01,AL,Sorghum,0.096
2022-04-01,AL,Sorghum,0.101
2022-05-01,AL,Sorghum,0.102
2022-06-01,AL,Sorghum,0.105
2022-07-01,AL,Sorghum,0.103
2022-08-01,AL,Sorghum,0.1
2022-09-01,AL,Sorghum,0.101
2022-10-01,AL,Sorghum,0.104
2022-11-01,AL,Sorghum,0.104
2022-12-01,AL,Sorghum,0.1
2023-01-01,AL,Sorghum,0.096
2023-02-01,AL,Sorghum,0.092
2023-03-01,AL,Sorghum,0.087
2023-04-01,AL,Sorghum,0.088
2023-05-01,AL,Sorghum,0.091
2023-06-01,AL,Sorghum,0.09
2023-07-01,AL,Sorghum,0.084
2023-08-01,AL,Sorghum,0.084
2023-09-01,AL,Sorghum,0.083
2023-10-01,AL,Sorghum,0.089
2023-11-01,AL,Sorghum,0.085
2023-12-01,AL,Sorghum,0.084
2024-01-01,AL,Sorghum,0.088
2024-02-01,AL,Sorghum,0.089
2024-03-01,AL,Sorghum,0.091
2024-04-01,AL,Sorghum,0.091
2024-05-01,AL,Sorghum,0.092
2024-06-01,AL,Sorghum,0.094
2024-07-01,AL,Sorghum,0.092
2024-08-01,AL,Sorghum,0.094
2024-09-01,AL,Sorghum,0.09
2024-10-01,AL,Sorghum,0.091
2024-11-01,AL,Sorghum,0.092
2024-12-01,AL,Sorghum,0.09
2025-01-01,AL,Sorghum,0.09
2025-02-01,AL,Sorghum,0.088
2025-03-01,AL,Sorghum,0.086
2025-04-01,AL,Sorghum,0.085
2025-05-01,AL,Sorghum,0.082
2025-06-01,AL,Sorghum,0.083
2025-07-01,AL,Sorghum,0.08
2025-08-01,AL,Sorghum,0.081
2025-09-01,AL,Sorghum,0.079
2020-10-01,AL,Sunflower,0.305
2020-11-01,AL,Sunflower,0.299
2020-12-01,AL,Sunflower,0.311
2021-01-01,AL,Sunflower,0.314
2021-02-01,AL,Sunflower,0.312
2021-03-01,AL,Sunflower,0.317
2021-04-01,AL,Sunflower,0.297
2021-05-01,AL,Sunflower,0.296
2021-06-01,AL,Sunflower,0.314
2021-07-01,AL,Sunflower,0.315
2021-08-01,AL,Sunflower,0.316
2021-09-01,AL,Sunflower,0.321
2021-10-01,AL,Sunflower,0.33
2021-11-01,AL,Sunflower,0.31
2021-12-01,AL,Sunflower,0.294
2022-01-01,AL,Sunflower,0.296
2022-02-01,AL,Sunflower,0.29
2022-03-01,AL,Sunflower,0.301
2022-04-01,AL,Sunflower,0.298
2022-05-01,AL,Sunflower,0.281
2022-06-01,AL,Sunflower,0.27
2022-07-01,AL,Sunflower,0.248
2022-08-01,AL,Sunflower,0.246
2022-09-01,AL,Sunflower,0.245
2022-10-01,AL,Sunflower,0.242
2022-11-01,AL,Sunflower,0.25
2022-12-01,AL,Sunflower,0.259
2023-01-01,AL,Sunflower,0.257
2023-02-01,AL,Sunflower,0.241
2023-03-01,AL,Sunflower,0.245
2023-04-01,AL,Sunflower,0.249
2023-05-01,AL,Sunflower,0.252
2023-06-01,AL,Sunflower,0.259
2023-07-01,AL,Sunflower,0.25
2023-08-01,AL,Sunflower,0.265
2023-09-01,AL,Sunflower,0.257
2023-10-01,AL,Sunflower,0.263
2023-11-01,AL,Sunflower,0.25
2023-12-01,AL,Sunflower,0.243
2024-01-01,AL,Sunflower,0.254
2024-02-01,AL,Sunflower,0.252
2024-03-01,AL,Sunflower,0.258
2024-04-01,AL,Sunflower,0.26
2024-05-01,AL,Sunflower,0.259
2024-06-01,AL,Sunflower,0.27
2024-07-01,AL,Sunflower,0.268
2024-08-01,AL,Sunflower,0.254
2024-09-01,AL,Sunflower,0.248
2024-10-01,AL,Sunflower,0.252
2024-11-01,AL,Sunflower,0.255
2024-12-01,AL,Sunflower,0.243
2025-01-01,AL,Sunflower,0.237
2025-02-01,AL,Sunflower,0.233
2025-03-01,AL,Sunflower,0.231
2025-04-01,AL,Sunflower,0.221
2025-05-01,AL,Sunflower,0.217
2025-06-01,AL,Sunflower,0.212
2025-07-01,AL,Sunflower,0.217
2025-08-01,AL,Sunflower,0.223
2025-09-01,AL,Sunflower,0.222
2020-10-01,AL,Lettuce,0.623
2020-11-01,AL,Lettuce,0.625
2020-12-01,AL,Lettuce,0.61
2021-01-01,AL,Lettuce,0.589
2021-02-01,AL,Lettuce,0.572
2021-03-01,AL,Lettuce,0.561
2021-04-01,AL,Lettuce,0.542
2021-05-01,AL,Lettuce,0.544
2021-06-01,AL,Lettuce,0.556
2021-07-01,AL,Lettuce,0.53
2021-08-01,AL,Lettuce,0.53
2021-09-01,AL,Lettuce,0.527
2021-10-01,AL,Lettuce,0.532
2021-11-01,AL,Lettuce,0.532
2021-12-01,AL,Lettuce,0.509
2022-01-01,AL,Lettuce,0.489
2022-02-01,AL,Lettuce,0.49
2022-03-01,AL,Lettuce,0.505
2022-04-01,AL,Lettuce,0.471
2022-05-01,AL,Lettuce,0.476
2022-06-01,AL,Lettuce,0.493
2022-07-01,AL,Lettuce,0.491
2022-08-01,AL,Lettuce,0.499
2022-09-01,AL,Lettuce,0.489
2022-10-01,AL,Lettuce,0.487
2022-11-01,AL,Lettuce,0.463
2022-12-01,AL,Lettuce,0.431
2023-01-01,AL,Lettuce,0.443
2023-02-01,AL,Lettuce,0.43
2023-03-01,AL,Lettuce,0.424
2023-04-01,AL,Lettuce,0.406
2023-05-01,AL,Lettuce,0.389
2023-06-01,AL,Lettuce,0.387
2023-07-01,AL,Lettuce,0.379
2023-08-01,AL,Lettuce,0.383
2023-09-01,AL,Lettuce,0.388
2023-10-01,AL,Lettuce,0.392
2023-11-01,AL,Lettuce,0.395
2023-12-01,AL,Lettuce,0.413
2024-01-01,AL,Lettuce,0.4
2024-02-01,AL,Lettuce,0.399
2024-03-01,AL,Lettuce,0.413
2024-04-01,AL,Lettuce,0.429
2024-05-01,AL,Lettuce,0.41
2024-06-01,AL,Lettuce,0.407
2024-07-01,AL,Lettuce,0.423
2024-08-01,AL,Lettuce,0.43
2024-09-01,AL,Lettuce,0.432
2024-10-01,AL,Lettuce,0.429
2024-11-01,AL,Lettuce,0.424
2024-12-01,AL,Lettuce,0.428
2025-01-01,AL,Lettuce,0.425
2025-02-01,AL,Lettuce,0.424
2025-03-01,AL,Lettuce,0.425
2025-04-01,AL,Lettuce,0.417
2025-05-01,AL,Lettuce,0.423
2025-06-01,AL,Lettuce,0.46
2025-07-01,AL,Lettuce,0.436
2025-08-01,AL,Lettuce,0.44
2025-09-01,AL,Lettuce,0.43
2020-10-01,AK,Wheat (spring),0.102
2020-11-01,AK,Wheat (spring),0.102
2020-12-01,AK,Wheat (spring),0.104
2021-01-01,AK,Wheat (spring),0.108
2021-02-01,AK,Wheat (spring),0.109
2021-03-01,AK,Wheat (spring),0.112
2021-04-01,AK,Wheat (spring),0.104
2021-05-01,AK,Wheat (spring),0.109
2021-06-01,AK,Wheat (spring),0.111
2021-07-01,AK,Wheat (spring),0.114
2021-08-01,AK,Wheat (spring),0.11
2021-09-01,AK,Wheat (spring),0.107
2021-10-01,AK,Wheat (spring),0.108
2021-11-01,AK,Wheat (spring),0.108
2021-12-01,AK,Wheat (spring),0.108
2022-01-01,AK,Wheat (spring),0.112
2022-02-01,AK,Wheat (spring),0.106
2022-03-01,AK,Wheat (spring),0.109
2022-04-01,AK,Wheat (spring),0.109
2022-05-01,AK,Wheat (spring),0.109
2022-06-01,AK,Wheat (spring),0.104
2022-07-01,AK,Wheat (spring),0.105
2022-08-01,AK,Wheat (spring),0.098
2022-09-01,AK,Wheat (spring),0.1
2022-10-01,AK,Wheat (spring),0.095
2022-11-01,AK,Wheat (spring),0.095
2022-12-01,AK,Wheat (spring),0.095
2023-01-01,AK,Wheat (spring),0.098
2023-02-01,AK,Wheat (spring),0.098
2023-03-01,AK,Wheat (spring),0.096
2023-04-01,AK,Wheat (spring),0.094
2023-05-01,AK,Wheat (spring),0.098
2023-06-01,AK,Wheat (spring),0.099
2023-07-01,AK,Wheat (spring),0.098
2023-08-01,AK,Wheat (spring),0.098
2023-09-01,AK,Wheat (spring),0.093
2023-10-01,AK,Wheat (spring),0.094
2023-11-01,AK,Wheat (spring),0.089
2023-12-01,AK,Wheat (spring),0.091
2024-01-01,AK,Wheat (spring),0.091
2024-02-01,AK,Wheat (spring),0.098
2024-03-01,AK,Wheat (spring),0.095
2024-04-01,AK,Wheat (spring),0.095
2024-05-01,AK,Wheat (spring),0.1
2024-06-01,AK,Wheat (spring),0.103
2024-07-01,AK,Wheat (spring),0.101
2024-08-01,AK,Wheat (spring),0.102
2024-09-01,AK,Wheat (spring),0.102
2024-10-01,AK,Wheat (spring),0.103
2024-11-01,AK,Wheat (spring),0.1
2024-12-01,AK,Wheat (spring),0.1
2025-01-01,AK,Wheat (spring),0.095
2025-02-01,AK,Wheat (spring),0.096
2025-03-01,AK,Wheat (spring),0.097
2025-04-01,AK,Wheat (spring),0.096
2025-05-01,AK,Wheat (spring),0.092
2025-06-01,AK,Wheat (spring),0.094
2025-07-01,AK,Wheat (spring),0.095
2025-08-01,AK,Wheat (spring),0.093
2025-09-01,AK,Wheat (spring),0.093
2020-10-01,AK,Barley,0.095
2020-11-01,AK,Barley,0.093
2020-12-01,AK,Barley,0.091
2021-01-01,AK,Barley,0.094
2021-02-01,AK,Barley,0.093
2021-03-01,AK,Barley,0.094
2021-04-01,AK,Barley,0.093
2021-05-01,AK,Barley,0.094
2021-06-01,AK,Barley,0.093
2021-07-01,AK,Barley,0.096
2021-08-01,AK,Barley,0.094
2021-09-01,AK,Barley,0.09
2021-10-01,AK,Barley,0.086
2021-11-01,AK,Barley,0.085
2021-12-01,AK,Barley,0.081
2022-01-01,AK,Barley,0.082
2022-02-01,AK,Barley,0.081
2022-03-01,AK,Barley,0.087
2022-04-01,AK,Barley,0.082
2022-05-01,AK,Barley,0.083
2022-06-01,AK,Barley,0.08
2022-07-01,AK,Barley,0.079
2022-08-01,AK,Barley,0.079
2022-09-01,AK,Barley,0.074
2022-10-01,AK,Barley,0.074
2022-11-01,AK,Barley,0.079
2022-12-01,AK,Barley,0.077
2023-01-01,AK,Barley,0.078
2023-02-01,AK,Barley,0.08
2023-03-01,AK,Barley,0.08
2023-04-01,AK,Barley,0.079
2023-05-01,AK,Barley,0.073
2023-06-01,AK,Barley,0.075
2023-07-01,AK,Barley,0.074
2023-08-01,AK,Barley,0.072
2023-09-01,AK,Barley,0.072
2023-10-01,AK,Barley,0.071
2023-11-01,AK,Barley,0.07
2023-12-01,AK,Barley,0.071
